# schema=nsb-healpix-starlight-candidate-v5
# map_type=healpix
# coordinate_frame=galactic
# ordering=nested
# representation=sparse
# omitted_pixel_semantics=zero_flux_and_source_counts
# nside=128
# flux_quantity=integrated_per_pixel
# flux_unit=ph_m-2_s-1
pixel,flux_ph_m2_s,statistical_uncertainty_ph_m2_s,systematic_uncertainty_ph_m2_s,total_uncertainty_ph_m2_s,admitted_sources,excluded_sources
5476,1.01596539935888946e7,3.92515677288979350e4,2.86356862868397089e5,2.89034493583389209e5,1084,82
5477,2.65792378011116832e7,1.63904902546300902e5,5.26563035993952770e5,5.51482953457204509e5,1065,81
5478,3.10214544135266282e7,2.30479638886246976e5,9.14969568156918976e5,9.43551892899586936e5,1018,94
5479,1.81613120806774423e7,1.67071296663071058e5,4.66912765588076320e5,4.95903568083337974e5,1119,92
5480,2.24979531900987290e7,1.36451043660155556e5,4.60274060751895944e5,4.80074055034205841e5,1085,109
5481,1.25083175763033219e7,6.95672399142571230e4,3.45140348900831887e5,3.52081611716198211e5,1053,93
5482,1.71776597345170714e7,1.08950165858658278e5,4.07912828873343766e5,4.22212049330763402e5,1035,91
5483,1.80238180397034436e7,1.04936295257072663e5,4.76350226677136496e5,4.87771631522005249e5,1064,98
5484,6.34142759693303332e6,2.07977059938809653e4,2.15245471695000830e5,2.16247907873836579e5,1007,96
5485,3.46020238249217644e7,1.78227397077341244e5,5.06500571330393315e5,5.36943045235692640e5,965,94
5486,1.06607787255903985e7,5.17793875974148978e4,2.93030933759963547e5,2.97570551500311354e5,989,57
5487,7.02329139489106555e6,6.23904626041361116e4,2.31296679439418629e5,2.39563611059065646e5,804,86
5488,1.07909309226707891e7,6.81760149412923784e4,2.52106530907772452e5,2.61162156407904840e5,620,49
5490,7.46095935667107720e6,7.57134317945835355e4,1.91139301166805206e5,2.05588803694772534e5,378,28
5496,2.42306766469120514e5,1.88947521844213657e3,1.34867433610244661e4,1.36184567072500722e4,101,12
5504,2.09440800929447599e7,2.54942960285952344e5,5.59526310375664150e5,6.14870396914641489e5,1101,74
5505,1.23856735941861533e7,8.31152328269647551e4,3.20970454264698143e5,3.31557196330840117e5,1110,116
5506,1.78265126078369804e7,1.54026877113181865e5,4.21057946923410695e5,4.48345930661355436e5,1063,91
5507,1.06128869106917307e7,1.36572898600528075e5,3.34875412547625951e5,3.61654114536379639e5,1064,51
5508,2.40838943098793104e7,2.52701141928425350e5,5.92403159940276411e5,6.44049199238035595e5,1100,88
5509,1.99208040575132780e7,1.98008160392430204e5,4.91804496763372154e5,5.30168741646155599e5,1072,89
5510,1.34100955461564548e7,7.78643977412886888e4,3.52265005619031086e5,3.60767929033872962e5,1121,64
5511,8.42591448247436620e6,3.47957133518763803e4,2.54335566804414208e5,2.56704737411269045e5,1088,101
5512,9.60202435892283730e6,4.29341591475977184e4,2.68182429398984415e5,2.71597417992241797e5,1105,71
5513,1.82766301284438409e7,1.32803854070812464e5,4.64083813569934282e5,4.82711766661716218e5,1086,85
5514,3.08135196743081473e7,3.01290947235130472e5,6.93782967901070486e5,7.56380222795030451e5,1061,96
5515,4.20699614629786611e7,3.42973008282475814e5,8.55477930715298280e5,9.21668581623166683e5,1094,63
5516,2.54509660668089315e7,2.61336115991428233e5,6.00365905115394620e5,6.54779188388354494e5,1023,77
5517,1.44346715433783289e7,1.72436789346331527e5,3.98498673484460916e5,4.34206908154333825e5,1050,167
5518,1.95572089519308396e7,1.15650871539597327e5,4.26759561448433844e5,4.42152515966524836e5,1112,71
5519,1.66170489642444067e7,9.15287224448785855e4,3.72222897357045731e5,3.83311090824757412e5,1070,99
5520,3.28475311823138073e7,5.23225415836786153e5,8.84550804403640795e5,1.02771346266783227e6,1088,82
5521,1.60708477871411666e7,1.83957328374050849e5,4.32987474430275033e5,4.70444950739219261e5,1010,73
5522,1.61514191697703395e7,1.11361221159926892e5,4.12768603696536797e5,4.27526890120164026e5,1001,82
5523,1.93362839566143639e7,1.25256537967689641e5,4.43466132219657418e5,4.60816026988552068e5,1060,100
5524,2.37843490288638882e7,1.51866451552928746e5,4.70954915764722391e5,4.94835277431020280e5,1027,68
5525,7.17085407709481474e6,2.25560355707349918e4,2.34464145385613025e5,2.35546620039588219e5,1039,95
5526,1.32237435474229492e7,1.62263113643783348e5,3.61324699559207947e5,3.96086930560612236e5,957,114
5527,1.19106677403167151e7,5.82634069171558149e4,3.02396298720086808e5,3.07958026466598269e5,981,110
5528,2.08512614410068132e7,1.61497228084855946e5,4.26166383275351371e5,4.55740212086980173e5,1023,118
5529,8.88561405759238452e6,5.87026155899914229e4,2.71893335440640571e5,2.78158197675608681e5,1040,72
5530,8.87214858152023517e6,4.92469319882998825e4,2.67303024395869870e5,2.71801705589643505e5,1014,92
5531,1.53420652091064695e7,7.17918893385176925e4,3.80779824644367094e5,3.87488516256919422e5,1021,67
5532,1.31304155687423274e7,5.63603735839460423e4,3.54149381771484448e5,3.58606018242369464e5,1044,95
5533,1.47027287519960087e7,9.09384870874874177e4,3.68410138951089291e5,3.79467836470658018e5,1056,103
5534,2.41721905184403695e7,1.58921011741841037e5,5.27618155644827406e5,5.51032491001301678e5,1059,112
5535,2.82204126196015850e7,1.83405626087148645e5,6.57937980204954860e5,6.83022700557305478e5,1089,111
5536,2.19805791889859810e7,1.33136253937172034e5,4.57860791555290692e5,4.76824670666336780e5,1171,82
5537,1.67294766431559455e7,9.90664956591605442e4,5.15271952889207983e5,5.24708829729827004e5,1079,80
5538,1.29411062529076692e7,7.34477402932808036e4,3.29982226516343479e5,3.38057451287310978e5,1053,69
5539,4.20015945544044301e7,3.61939724482290272e5,7.66767070920249796e5,8.47898640879872837e5,1018,90
5540,5.56836104601583600e8,1.80339365342369266e7,3.23455946042443961e7,3.70332331456896886e7,1121,99
5541,1.46644671178259645e7,1.47404043217111379e5,3.85304980153752258e5,4.12538337234293227e5,1066,108
5542,1.46224572502794843e7,7.45904974152283976e4,3.38097683663908159e5,3.46227939374556125e5,1015,106
5543,1.97980899403235316e7,2.93796926664961327e5,5.30672737380945939e5,6.06572492219325039e5,1041,97
5544,1.04825858444250077e7,5.52325977497789645e4,3.14970426108305284e5,3.19776498787881981e5,1170,85
5545,2.48498263266320303e7,1.35895156933628692e5,5.48122815585585660e5,5.64717730059439084e5,1120,101
