# schema=nsb-healpix-starlight-v2
# packer_id=candidate-v5-to-healpix-v2-packed-v1
# unit_conversion_id=pixel-flux-ph-m2-s-to-band-radiance-ph-cm2-ns-sr-v1+nested-to-ring-v1
# source_candidate_sha256=sha256:76191c8b682d96adfc3a017f44f3fcfd0bec5dcb9a958d31668250b8a0ba396a
# map_type=healpix
# coordinate_frame=galactic
# nside=128
# ordering=ring
# s10_diagnostics=not_provided
# band_definition=300-650 nm combined integrated photon radiance (corrected 300-336 nm UV + measured 336-650 nm)
# calibration_status=production
# dataset_name=NSB Gaia DR3 Starlight packed runtime map
# gaia_source_checksum_manifest_sha256=sha256:9ec782f9c83b29885924c7d47bba18d70c86b8cbefbc408b19090b6a76e8e369
# generated_by=nsb-data dataset starlight promote (candidate-v5-to-healpix-v2-packed-v1)
# generation_command=nsb-data dataset starlight promote --apply
# generation_date_utc=2026-08-24T00:00:00Z
# independent_comparison=no_admissible_independent_reference; human review #103
# magnitude_limit=Gaia DR3 catalogue as admitted by the frozen merge report
# map_resolution=HEALPix nside=128 ordering=ring
# photometry_model=gaia_dr3_xp_photon_radiance_300_650nm_packed_v1
# smoothing=none
# source_catalogue=Gaia DR3 GaiaSource and XP continuous
# source_catalogue_checksum=sha256:9ec782f9c83b29885924c7d47bba18d70c86b8cbefbc408b19090b6a76e8e369
# source_catalogue_license=CC BY-NC 3.0 IGO
# source_catalogue_release=Gaia DR3
# source_selection=Gaia DR3 full-population admission with photometric-inference fallback and selection-function weights
# validation_report=docs/nsb_components/starlight/production-runs/combined-300-650-validation.json
# version=uv-v2-packed-from-76191c8b682d96adfc3a017f44f3fcfd0bec5dcb9a958d31668250b8a0ba396a
# xp_continuous_checksum_manifest_sha256=sha256:f23df1ffb45b19fc3f34d6f37791179cef1ebec6c5b9fd613a488b3be580fccd
healpix_index,integrated_ph_cm2_ns_sr,statistical_uncertainty_ph_cm2_ns_sr,systematic_uncertainty_ph_cm2_ns_sr,total_uncertainty_ph_cm2_ns_sr
128,9.1793731117590163e-3,7.1017324224340573e-5,2.4389038270386095e-4,2.5401964316843856e-4
129,8.9423563380236926e-3,5.9410648324513435e-5,2.4016516635441370e-4,2.4740439014775428e-4
130,6.7996795911952528e-3,4.6578040276592351e-5,2.0821572819756823e-4,2.1336190687386411e-4
131,5.4161799295045134e-3,2.7000958124023380e-5,1.8534343704003662e-4,1.8729987024402681e-4
132,1.4515412897429834e-2,1.2558680420146477e-4,3.6105308406766690e-4,3.8227133675481192e-4
133,2.0723639169095455e-2,1.3954984324997090e-4,4.4273907264929277e-4,4.6421120753537085e-4
134,7.4118362766446705e-3,3.8515277672655044e-5,2.1272686140711084e-4,2.1618543933003880e-4
135,2.1282774558342935e-2,1.8901265686416209e-4,4.8217980638999661e-4,5.1790264543169116e-4
136,1.8481203612868622e-2,2.2119001612077056e-4,4.5399942755287821e-4,5.0501534971706329e-4
137,7.2970232020953762e-2,9.3029579506986122e-4,1.2803898898893667e-3,1.5826713292580901e-3
138,1.6865421847376962e-2,1.7871275885655762e-4,3.7400443454346641e-4,4.1450882648780859e-4
139,8.7127046209016252e-3,3.8994754888706672e-5,2.2387628665301046e-4,2.2724696397173540e-4
140,1.5025545685324961e-2,2.0125360817534044e-4,3.6986766922827855e-4,4.2107613034218972e-4
141,1.9303065815363389e-2,1.5464140761513369e-4,5.8688911819392334e-4,6.0692075430292443e-4
142,5.1241269366510767e-3,3.3251927615429799e-5,1.5267948541072292e-4,1.5625849082665855e-4
143,2.8717644893352247e-2,2.5006799994544814e-4,5.6193903565836874e-4,6.1506868266346815e-4
144,1.5418216104906091e-2,2.3108269024240777e-4,4.2971519414325860e-4,4.8790814484618616e-4
145,1.4142790380749774e-2,1.0642688513073196e-4,6.2122008486658134e-4,6.3027063688567359e-4
146,4.9036348883932823e-2,7.0030034228279862e-4,8.8452446732849147e-4,1.1281862003694940e-3
147,8.4232978735341527e-3,6.6890705181626232e-5,2.4226944929074183e-4,2.5133414511230773e-4
148,9.0135398353147940e-3,7.6042238860222835e-5,2.6336430109003152e-4,2.7412255868409656e-4
149,1.9064816121497210e-2,2.0046305611653122e-4,4.6877158696293392e-4,5.0983550054044605e-4
150,4.3860461087995781e-3,4.9880085784093543e-5,1.6018629371930548e-4,1.6777267850683002e-4
151,7.9299362259426867e-3,4.5053644477546502e-5,2.3599859265462629e-4,2.4026062227438226e-4
152,1.1879673115522262e-2,7.7715832774829358e-5,2.9735491556076707e-4,3.0734296229462642e-4
153,1.1860208309985147e-2,9.1646786369309373e-5,2.7053303980581847e-4,2.8563483519766699e-4
154,1.3397462511465012e-2,1.1914130453538528e-4,3.5495538626304743e-4,3.7441684882433192e-4
155,7.3970297205280776e-3,4.3692015388092684e-5,3.8763529395442357e-4,3.9008987852520054e-4
156,1.0516588145781157e-2,1.2888812271070839e-4,2.9769772332278603e-4,3.2440111381969806e-4
157,4.5560623121298632e-2,5.1498330872912820e-4,7.4823375580387766e-4,9.0832899413922561e-4
158,2.5919975785748561e-2,5.2696369792464470e-4,6.9856326272735607e-4,8.7503221138578971e-4
159,1.6305221384876348e-2,1.2296982251257103e-4,3.8375443910136550e-4,4.0297524338199346e-4
160,1.6914965500412757e-2,1.7166773084997483e-4,4.0385634442670273e-4,4.3882770736233015e-4
161,1.6516416313889528e-2,2.0103902694147319e-4,3.6415351088742604e-4,4.1596210145302076e-4
162,4.5577416743247223e-2,3.7032372040005681e-4,7.0568250346410245e-4,7.9694884000561944e-4
163,1.2235859875862704e-2,8.7522139888499052e-5,2.9119451219428979e-4,3.0406310019917310e-4
164,7.4227281222683412e-3,7.4990375477091949e-5,3.9431342621891702e-4,4.0138090949956324e-4
165,8.3983889305884879e-3,3.7676083231359470e-5,1.8449831659073790e-4,1.8830591088033448e-4
